Question,Answer
"What is method of crop management based on observing, measuring and responding to inter and intrafield variability of crops
Accurate Agriculture (AA)
Precision Agriculture (PA)
Direct Agriculture (DA)",B
"In terms of the case study detailing the Picture Pile tool, what is a micro task?
A machine performs a micro task when it identifies a small area for example, a single pixel as an object. 
A microtask is a small task completed by a citizen to help train larger data sets.
A Microtask is a small function that allows machines to learn a larger patterns.
A microtask is a short function executed by the app after a person has made a decision.",B
"What are TWO disadvantages of using optical imagery for monitoring forest fires?
The data on the ground can be obscured by cloud and smoke
There is limited data acquisition speed of fast fires
Small fires on the ground can be missed due to Coarse resolution
It can be hard to distinguish between burned areas and low-albedo surfaces","A, B"
"What information does the back scatter detected by Sentiel-1 tell us in relation to fires?
Backscatter can tell us about the structure of the ground target
Back scatter can tell us about the moisture of the ground target
Back scatter can tell us neither the structure nor the moisture of the ground target.
Back scatter can tell us about both the structure and moisture of the ground target",D
"It is estimated that by 2025, the global slum population will reach…?
2.4 billion people
1.8 billion people
1.9 billion people
1.6 billion people",B
"What is the name of the AI/ML method used to identify the type of roofs in the informal settlement case study?
Canonical correlation forests (CCFs)
Split Tree Forests (STF)
Mixed Branch Identification Tree (MBIT)
Descriptive Correlation Forest (DCF)",A
"What are the two future Copernicus missions that will monitor Land?
Copernicus Hyperspectral Imaging Mission (CHIME)
Land Surface Temperature Mission (LSTM)
Land Locked Water Monitoring Mission (LLWM)
Gas, Plume, and Thermal Monitoring Mission (GPT)","A, B"
"What is the name of the management strategy that uses satellite spatial and temporal data as well as other technologies to help improve the efficiency and sustainability of agricultural operations?
Precision Agriculture
Data agriculture
Satellite agriculture
AI targeted agriculture",A
"To make sure crop identification is accurate, efficient and reliable, how do EFTAS crop analyser identify crops?
Visual interpretation of satellite images is sufficient
Visual analysis of satellite images is sufficient 
Visual interpretation and analysis of satellite data is sufficient
Visual interpretation, visual analysis and ground-based crop verification using photos and archives.",D
"How can members of the public help train AI technologies?
Citizen scientists can be engaged to identify objects and train algorithms to improve accuracy rates. 
Citizen scientists can be called upon to write code for AI that identify objects.
Citizen scientists are invited to give their opinions on way to improve physical land use and scientists work with their ideas and create identification labels for AI.
Citizen scientists are invited to upload images that AI can identify.",A
"How do optical sensors onboard satellites detect forest fires?
Optical sensors detect flames
Optical sensors detect the heat from the fire
Optical sensors detect the smoke from the fire
Optical sensors detect the carbon monoxide of the fire.",C
"Which sources do the Copernicus Marine Service gather data from?
Satellites
In situ Buoys 
Ocean models
Coastal Towers","A, B, C"
"What is the ‘Digital Twin of the Ocean’ (DTO)?
A 3D computerised model of the ocean
A framework to integrate a wide range of existing and new marine data sources, with tools to provide access to all these different sources of information
A concept to encourage the use of AI and other new technology for marine data gathering",B
"Which Sentinel Satellite is used to distinguish the different objects and ocean Debris?
Sentinel -1 
Sentinel- 2
Sentiel-3
Sentinel- 4",B
"What is the aim of the Jelly X algorithm?

To Identify the numerical relationship of jellyfish proliferation with the ocean- environment parameters thus overtaking the understanding of ecological drivers that in turn sheds light on those drivers.
Identifying the symbiotic relationship of jellyfish with other marine animals within the ocean- environment thus overtaking the understanding of ecological drivers.
Identifying the dependent relationship of Jellyfish with the ocean environment to understand ecological drivers.",A
"What type of fish does the Species Distribution Modelling Via Feature Engineering and Machine Learning identify? 
Pelagic Fish
Mesopelagic Fish
Demersal fish
Benthic fish",A
"What kind of Neural Network allows us to obtain 3D reconstructions of the ocean?
Convolutional Neural Network (CNN)
Recurrent Neural Network (RNN)
Multi-Layer-Perceptron (MLP) network
Generative Adversarial Network (GAN)",C
"What makes Sentinel-3 level 4 products different from levels 1-3?
They include in situ and model data
They include a neural network for atmospheric correction
They include composites to get rid of cloud cover",A
"What is Case-1 water?
Blue water with low levels of phytoplankton
Green water with high levels of phytoplankton
Cloudy water with high levels of inorganic particles 
Blue water with low levels of phytoplankton and Green Water with high levels of phytoplankton",D
"What is the name of the sensor on board the Sentinel-3 Satellite that measure ocean colour?
OLCI
OLBI
OLDI
OLGI",A
"What are some of the ocean parameters that Sentinel-3 can measure? (Select all that apply)
Deep sea temperature (> 5m)
Ocean colour
Sea surface temperature
Sea level","B, C, D"
"How can we measure sea-level rise from satellites?
Using LiDAR 
Using satellite Radiometers
Using satellite Altimeters
Using Microwave Radiometers",C
"Why is it beneficial to track in real-time maritime traffic and weather conditions? (Select all that apply)
Reduce CO₂ and SOx emissions
Reduce NH₃ emissions
Fuel cost savings
Increase safety
Increase security","A, C, D, E"
"What type of Marine debris is detected by Satellites and is important to identify to avoid at-sea accidents?
Ocean foam
Drift wood from flooding 
Sea grass
Plastics","B, D"
"What is the European Space Agency World Ocean Circulation project retrieving using deep neural networks? 
A 3D model of the Thermohaline Ocean circulation
A full 3D model of the global ocean, including currents, wave height, and ocean bathymetry
3D structures of ocean temperature and salinity from sea surface measurements of temperature, salinity and sea surface level",C
"Why is it important to identify and understand how much chlorophyll is in our oceans?
Chlorophyll releases toxic gas and disturbed the ocean ecosystem. It is important to identify so that we can reduce its impact.
Chlorophyll absorbs radiation from the sun and causes the oceans to warm, thus it is important to eliminate Chlorophyll as best we can.
Chlorophyll absorbs masses of CO2 and is good for the environment.
Chlorophyll is the basis of the food chain in our ocean so it sustains the oceans.","C, D"
"Marine Analyst is a digital platform created using Python and R and running on WEkEO, what does it use machine learning for? 
To automatically identify marine debris in satellite images
To organise different marine imagery into categories
To provide some environmental parameters for users",C
"What data does CAMS provide? 
Reanalysis data of past atmosphere
Information related to air pollution, and heath, solar energy, greenhouse gases and climate forcing
Regular climate updates on surface air temperature, sea ice, precipitation and soil moisture",B
"Which instrument on board Sentinel-5P can track air pollution?

TROPOMI
Microwave radiometer
Infrared Camera
Synthetic-aperture radar (SAR)",A
"The use of a Neural Network based emulator can effectively replicate spectra simulated by LINTRAN, explaining 99% of the variance and to within ~3% uncertainty.  Up to how much times faster is this method than using the Radiative Transfer Model alone? 

500 times
1000 times
1500 times
10000 times",D
"What is the prevailing element in the Earths water cycle?
Advection
Precipitation
Condensation
Evaporation",B
"Where is it challenging to monitor the quantity of precipitation? 
Developing countries
Remote locations
The Oceans
Developed cities","A, B, C"
"What type of data is used for Weatherbench?
Historical data
Weather data
Reanalysis data
Analysis data",C
"What is one advantage that data from satellites give us for studying the atmosphere?
They give us long-term coverage
They give us short-term coverage
They only provide ground-based observations
They are only effective for ocean studies",A
"Why is Methane one of the most important contributors to the anthropogenically enhanced greenhouse effect? 
It is more efficient at trapping heat from the sun than carbon dioxide and other gasses
It has a long life-time in the atmosphere
There is more methane in the atmosphere than carbon dioxide therefore it is more potent and contributes more to the greenhouse effect",A
"How can AI help with predicting extreme weather events?
It can help to predict weather events months in advance
It can help to extract the right signal in the vast amounts of weather data
It can accurately predict when hurricanes are likely to form",B
"What is a current limitation of WeatherBench ML weather forecasting? 
They are very efficient at long-term weather prediction but limited for very short-term (‘now casting’) prediction
They are not very efficient at getting weather forecasting correct 
They are very efficient at very short-term (‘now casting’) weather prediction but limited at longer term",C
"What is Copernicus C3S?
The Copernicus free Service
A platform for accessing all Copernicus EO data
The Copernicus Climate Change Service 
C3S data store",C
"Clouds are important as they are more than 2/3rds of the Earth’s surface and they reflect what percentage of the Sun’s radiation back into Space?

½ 
¼ 
¾
2/3",B
"Which parameters, distinguished by ML, are important for understanding Seagrass classification?
Bathymetry
Chlorophyll
Distance from ships
Distance from coast","A, B, D"
"What is the most important element to firstly monitor for climatic studies?
Greenhouse gas concentrations
The energy balance of the Earth
Global precipitation",B
"Why can cloud classification be challenging to complete with data from satellites? 
Satellite Passive instruments cannot measure cloud depth, which is needed for some cloud classification types
We do not have a long enough time-series of cloud data to use for classification
Satellite Active sensors can only give us a narrow swath of data, which is not good enough for global cloud classification 
Satellites cannot measure clouds","A, C"
"What ice type is classified from SAR polarimetric data as bright regions with strong back scatter? 
Open water
First Year Ice
Rough first year ice
Young Ice",C
"Why is Sentinel-1’s Radar instrument useful for monitoring mangroves? 
It can measure through clouds to show us the canopy of mangroves
It gives us data which is useful for discerning what is land and what is water
It gives us data in the visible spectrum, as well as near-infrared and shortwave infrared","A, C"
"Why did COVID-19 have an impact on the atmosphere?
The COVID-19 virus which spread globally produces gasses which change atmospheric composition
The spread of COVID-19 meant many governments took measures to control the virus. Measures such as the restriction of travel, had an impact on anthropogenic emissions in the atmosphere
The COVID-19 Virus led most industries to increase their production for online sales, therefore we see an increase in emissions on a global scale.",B
"What did scientists hypothesise about Nitrogen Dioxide (NO2) levels during the lockdown period?
An increased spread of NO₂ due to an increased spread of day time population with dispersed residential buildings heating their spaces individually.
C. An increase in NO₂ due to a higher number of people working from home.
A reduction in NO₂ due to a decrease in vehicle traffic.
No change in NO₂ levels because the lockdown would have impact on air quality.",C
"Why couldn’t the initial decreases in NO₂ measurements found over China, South Korea, northern Italy and the US in Spring 2020 compared to Spring 2019, from Sentinel-5P columns, be directly attributed to COVID-19 lockdown measures?
Because Sentinel-5P had made errors in 2020 so the measurements were not accurate
Because it was found that meteorology supported low NO2 values for Spring 2020 compared to Spring 2019, and this was already being experienced in February 2020, before most areas had entered lockdowns
Because these decreases were attributed to 2020 Spring storms which decreased NO2 amounts in the atmosphere worldwide.",B
"How did the NO2 COVID study solve the problem of finding out if NO2 distributions are influenced by COVID lockdowns, and not by meteorology only?
By looking at and comparing very short term (monthly) NO2 emission estimates rather than long-term (several years or months), which was made possible by TROPOMI’s high spatial resolution
By looking at and comparing long-term emission estimates (years), so we could see the larger pattern of NO2 emissions.
By seeing what the sources of NO2 were by looking at satellite imagery, which was made possible by TROPOMI’s high spatial resolution",A
"True or false: Though we can estimate changes in Nitrogen Dioxide in the atmosphere from Space using satellites, they cannot tell us about the sources and why the change occurred.
True
False",A
"What is the primary source of carbon dioxide emissions?
Agriculture
Burning of fossil fuels, oil, coal and gas
Vehicle traffic",B
"Why was it a challenge to use satellite data (from OCO-2 and GOSAT) to obtain information on COVID-19 related CO2 emission reductions?
Because these satellites have very high resolutions, making it hard to see where the sources of CO2 came from. 
Because these satellites only give us information on xCO2 and not CO2
Because these satellites have been optimised to obtain information on large scale terrestrial biosphere carbon fluxes.",C
"Why was it particularly important to measure levels of Aerosols during the COVID-19 pandemic? 
Because of the health impacts of aerosols which can deeply penetrate into human lungs and cause serious respiratory problems, which could then potentially increase the number of severe cases of COVID-19
So we can see what happens to aerosols during periods of reduced traffic and reduced industrial outputs, and see how they are transported",A
"Did aerosol optical depth (AOD) observed over Northern Italy after the implementation of COVID lockdown, increase or decrease? 
Decrease
Increase",B
"Did in situ ground-based measurements of NO2 in Europe match up with the satellite data in the ICOVAC study? 
Yes
No",A
"Why couldn’t Methane (CH4) and Carbon Monoxide (CO) measurements be estimated for the COVID Lockdowns?
Because the variability of these species is much higher, thus preventing any detection of a significant signal due to covid lockdown
Because there were not any local measurements for this these species available
Because these are trace gasses and so the amounts of them in the atmosphere are hard to measure accurately",A
"Why did concentrations of secondary pollutants such as ozone increase in some regions during COVID lockdowns? 
Because of increase used of heating in residential buildings
Because of the reductions in NOx 
Because of meteorological phenomenon",B
"What is the difference between weather and climate?
Climate is short term variations. 
They are both the same
Climate is the average weather over long periods",C
"What could changing regional climates alter?
Forests
Crop yields
Water supply
Solar radiation levels","A, B, C"
"What are the three key services provided by C3S?
Weather forecasts
Ozone forecasts
The CCI
The CDS
Data in action
Climate Bulletins","D, E, F"
"What are the five data product types available on the C3S Climate Data Store?
Reanalysis
Climate projections
Proxy indices
Satellite observations
Climate indices
Seasonal forecasts","A, B, D, E, F"
"Excluding observations from satellite and in situ monitoring systems, what are the other sources of climate data in the C3S CDS?
Seasonal predictions, climate reanalysis and climate projections
Seasonal predictions, indirect observations, climate reanalysis
Weather maps, climate reanalysis, climate projections",A
"What is ERA5 data?
Numerical models of the climate system
Data from several state-of-the-art seasonal prediction systems
Historical observations into global estimates using advanced modelling and data assimilation systems.",C
"What are climate projections?
Simulations on the climate until the end of the century
Information about the climate for the next six months",A
"What are the C3S Climate Data Store Applications? 
Applications that allow for users to build visualisations of the data
Applications used for downloading the data
Pre-built interactive visualisations of the data",C
"What does the Copernicus C3S Toolbox enable users to do?
To install the CDS API onto your computer.
Develop custom-made applications using the Python programming language.
To download satellite imagery to be processed elsewhere.",B
"What line of code is used to retrieve data from the Copernicus Climate Data Store (CDS) via the C3S toolbox.?
data = ct.catalogue.retrieve
data = ct.data.retrieve
data = ct.catalogue.get",A
"What is the best way to start building an application in the C3S toolbox?
Code it from scratch
Copy the source code from a pre-built CDS application and analyse and make changes to the code",B
